INFO: heron_usv_controller: Starting controller: python.exe -u heron_usv_controller.py
USV figure-8 (open-loop, no sensors) controller started.
t=16.00, vL=5.03, vR=4.97, w=-0.03
t=16.05, vL=5.04, vR=4.96, w=-0.04
t=16.10, vL=5.04, vR=4.96, w=-0.04
t=16.15, vL=5.05, vR=4.95, w=-0.05
t=16.20, vL=5.05, vR=4.95, w=-0.05
t=16.25, vL=5.06, vR=4.94, w=-0.06
t=16.30, vL=5.06, vR=4.94, w=-0.06
t=16.35, vL=5.07, vR=4.93, w=-0.07
t=16.40, vL=5.07, vR=4.93, w=-0.07
t=16.45, vL=5.07, vR=4.93, w=-0.07
t=16.50, vL=5.08, vR=4.92, w=-0.08
t=16.55, vL=5.08, vR=4.92, w=-0.08
t=16.60, vL=5.09, vR=4.91, w=-0.09
t=16.65, vL=5.09, vR=4.91, w=-0.09
t=16.70, vL=5.09, vR=4.91, w=-0.09
t=16.75, vL=5.09, vR=4.91, w=-0.09
t=16.80, vL=5.10, vR=4.90, w=-0.10
t=16.85, vL=5.10, vR=4.90, w=-0.10
t=16.90, vL=5.10, vR=4.90, w=-0.10
t=16.95, vL=5.10, vR=4.90, w=-0.10
t=17.00, vL=5.11, vR=4.89, w=-0.11
t=17.05, vL=5.11, vR=4.89, w=-0.11
t=17.10, vL=5.11, vR=4.89, w=-0.11
t=17.15, vL=5.11, vR=4.89, w=-0.11
t=17.20, vL=5.11, vR=4.89, w=-0.11
t=17.25, vL=5.11, vR=4.89, w=-0.11
t=17.30, vL=5.11, vR=4.89, w=-0.11
t=17.35, vL=5.11, vR=4.89, w=-0.11
t=17.40, vL=5.11, vR=4.89, w=-0.11
t=17.45, vL=5.11, vR=4.89, w=-0.11
t=17.50, vL=5.11, vR=4.89, w=-0.11
t=17.55, vL=5.11, vR=4.89, w=-0.11
t=17.60, vL=5.10, vR=4.90, w=-0.10
t=17.65, vL=5.10, vR=4.90, w=-0.10
t=17.70, vL=5.10, vR=4.90, w=-0.10
t=17.75, vL=5.10, vR=4.90, w=-0.10
t=17.80, vL=5.10, vR=4.90, w=-0.10
t=17.85, vL=5.09, vR=4.91, w=-0.09
t=17.90, vL=5.09, vR=4.91, w=-0.09
t=17.95, vL=5.09, vR=4.91, w=-0.09
t=18.00, vL=5.08, vR=4.92, w=-0.08
t=18.05, vL=5.08, vR=4.92, w=-0.08
t=18.10, vL=5.07, vR=4.93, w=-0.07
t=18.15, vL=5.07, vR=4.93, w=-0.07
t=18.20, vL=5.07, vR=4.93, w=-0.07
t=18.25, vL=5.06, vR=4.94, w=-0.06
t=18.30, vL=5.06, vR=4.94, w=-0.06
t=18.35, vL=5.05, vR=4.95, w=-0.05
t=18.40, vL=5.05, vR=4.95, w=-0.05
t=18.45, vL=5.04, vR=4.96, w=-0.04
t=18.50, vL=5.04, vR=4.96, w=-0.04
t=18.55, vL=5.03, vR=4.97, w=-0.03
t=18.60, vL=5.03, vR=4.97, w=-0.03
t=18.65, vL=5.02, vR=4.98, w=-0.02
t=18.70, vL=5.02, vR=4.98, w=-0.02
t=18.75, vL=5.01, vR=4.99, w=-0.01
t=18.80, vL=5.01, vR=4.99, w=-0.01
t=18.85, vL=5.00, vR=5.00, w=0.00
t=18.90, vL=4.99, vR=5.01, w=0.01
t=18.95, vL=4.99, vR=5.01, w=0.01
t=19.00, vL=4.98, vR=5.02, w=0.02
t=19.05, vL=4.98, vR=5.02, w=0.02
t=19.10, vL=4.97, vR=5.03, w=0.03
t=19.15, vL=4.97, vR=5.03, w=0.03
t=19.20, vL=4.96, vR=5.04, w=0.04
t=19.25, vL=4.96, vR=5.04, w=0.04
t=19.30, vL=4.95, vR=5.05, w=0.05
t=19.35, vL=4.95, vR=5.05, w=0.05
t=19.40, vL=4.94, vR=5.06, w=0.06
t=19.45, vL=4.94, vR=5.06, w=0.06
t=19.50, vL=4.93, vR=5.07, w=0.07
t=19.55, vL=4.93, vR=5.07, w=0.07
t=19.60, vL=4.92, vR=5.08, w=0.08
t=19.65, vL=4.92, vR=5.08, w=0.08
t=19.70, vL=4.92, vR=5.08, w=0.08
t=19.75, vL=4.91, vR=5.09, w=0.09
t=19.80, vL=4.91, vR=5.09, w=0.09
t=19.85, vL=4.91, vR=5.09, w=0.09
t=19.90, vL=4.90, vR=5.10, w=0.10
t=19.95, vL=4.90, vR=5.10, w=0.10
t=20.00, vL=4.90, vR=5.10, w=0.10
t=20.05, vL=4.90, vR=5.10, w=0.10
t=20.10, vL=4.90, vR=5.10, w=0.10
t=20.15, vL=4.89, vR=5.11, w=0.11
t=20.20, vL=4.89, vR=5.11, w=0.11
t=20.25, vL=4.89, vR=5.11, w=0.11
t=20.30, vL=4.89, vR=5.11, w=0.11
t=20.35, vL=4.89, vR=5.11, w=0.11
t=20.40, vL=4.89, vR=5.11, w=0.11
t=20.45, vL=4.89, vR=5.11, w=0.11
t=20.50, vL=4.89, vR=5.11, w=0.11
t=20.55, vL=4.89, vR=5.11, w=0.11
t=20.60, vL=4.89, vR=5.11, w=0.11
t=20.65, vL=4.89, vR=5.11, w=0.11
t=20.70, vL=4.89, vR=5.11, w=0.11
t=20.75, vL=4.90, vR=5.10, w=0.10
t=20.80, vL=4.90, vR=5.10, w=0.10
t=20.85, vL=4.90, vR=5.10, w=0.10
t=20.90, vL=4.90, vR=5.10, w=0.10
t=20.95, vL=4.91, vR=5.09, w=0.09
t=21.00, vL=4.91, vR=5.09, w=0.09
t=21.05, vL=4.91, vR=5.09, w=0.09
t=21.10, vL=4.91, vR=5.09, w=0.09
t=21.15, vL=4.92, vR=5.08, w=0.08
t=21.20, vL=4.92, vR=5.08, w=0.08
t=21.25, vL=4.93, vR=5.07, w=0.07
t=21.30, vL=4.93, vR=5.07, w=0.07
t=21.35, vL=4.93, vR=5.07, w=0.07
t=21.40, vL=4.94, vR=5.06, w=0.06
t=21.45, vL=4.94, vR=5.06, w=0.06
t=21.50, vL=4.95, vR=5.05, w=0.05
t=21.55, vL=4.95, vR=5.05, w=0.05
t=21.60, vL=4.96, vR=5.04, w=0.04
t=21.65, vL=4.96, vR=5.04, w=0.04
t=21.70, vL=4.97, vR=5.03, w=0.03
t=21.75, vL=4.97, vR=5.03, w=0.03
t=21.80, vL=4.98, vR=5.02, w=0.02
t=21.85, vL=4.98, vR=5.02, w=0.02
t=21.90, vL=4.99, vR=5.01, w=0.01
t=21.95, vL=5.00, vR=5.00, w=0.00
t=22.00, vL=5.00, vR=5.00, w=-0.00
t=22.05, vL=5.01, vR=4.99, w=-0.01
t=22.10, vL=5.01, vR=4.99, w=-0.01
t=22.15, vL=5.02, vR=4.98, w=-0.02
t=22.20, vL=5.02, vR=4.98, w=-0.02
t=22.25, vL=5.03, vR=4.97, w=-0.03
t=22.30, vL=5.03, vR=4.97, w=-0.03
t=22.35, vL=5.04, vR=4.96, w=-0.04
t=22.40, vL=5.04, vR=4.96, w=-0.04
t=22.45, vL=5.05, vR=4.95, w=-0.05
t=22.50, vL=5.05, vR=4.95, w=-0.05
t=22.55, vL=5.06, vR=4.94, w=-0.06
t=22.60, vL=5.06, vR=4.94, w=-0.06
t=22.65, vL=5.07, vR=4.93, w=-0.07
t=22.70, vL=5.07, vR=4.93, w=-0.07
t=22.75, vL=5.08, vR=4.92, w=-0.08
t=22.80, vL=5.08, vR=4.92, w=-0.08
t=22.85, vL=5.08, vR=4.92, w=-0.08
t=22.90, vL=5.09, vR=4.91, w=-0.09
t=22.95, vL=5.09, vR=4.91, w=-0.09
t=23.00, vL=5.09, vR=4.91, w=-0.09
t=23.05, vL=5.10, vR=4.90, w=-0.10
t=23.10, vL=5.10, vR=4.90, w=-0.10
t=23.15, vL=5.10, vR=4.90, w=-0.10
t=23.20, vL=5.10, vR=4.90, w=-0.10
t=23.25, vL=5.10, vR=4.90, w=-0.10
t=23.30, vL=5.11, vR=4.89, w=-0.11
t=23.35, vL=5.11, vR=4.89, w=-0.11
t=23.40, vL=5.11, vR=4.89, w=-0.11
t=23.45, vL=5.11, vR=4.89, w=-0.11
t=23.50, vL=5.11, vR=4.89, w=-0.11
t=23.55, vL=5.11, vR=4.89, w=-0.11
t=23.60, vL=5.11, vR=4.89, w=-0.11
t=23.65, vL=5.11, vR=4.89, w=-0.11
t=23.70, vL=5.11, vR=4.89, w=-0.11
t=23.75, vL=5.11, vR=4.89, w=-0.11
t=23.80, vL=5.11, vR=4.89, w=-0.11
t=23.85, vL=5.11, vR=4.89, w=-0.11
t=23.90, vL=5.10, vR=4.90, w=-0.10
t=23.95, vL=5.10, vR=4.90, w=-0.10
t=24.00, vL=5.10, vR=4.90, w=-0.10
t=24.05, vL=5.10, vR=4.90, w=-0.10
t=24.10, vL=5.09, vR=4.91, w=-0.09
t=24.15, vL=5.09, vR=4.91, w=-0.09
t=24.20, vL=5.09, vR=4.91, w=-0.09
t=24.25, vL=5.08, vR=4.92, w=-0.08
t=24.30, vL=5.08, vR=4.92, w=-0.08
t=24.35, vL=5.08, vR=4.92, w=-0.08
t=24.40, vL=5.07, vR=4.93, w=-0.07
t=24.45, vL=5.07, vR=4.93, w=-0.07
t=24.50, vL=5.07, vR=4.93, w=-0.07
t=24.55, vL=5.06, vR=4.94, w=-0.06
t=24.60, vL=5.06, vR=4.94, w=-0.06
t=24.65, vL=5.05, vR=4.95, w=-0.05
t=24.70, vL=5.05, vR=4.95, w=-0.05
t=24.75, vL=5.04, vR=4.96, w=-0.04
t=24.80, vL=5.04, vR=4.96, w=-0.04
t=24.85, vL=5.03, vR=4.97, w=-0.03
t=24.90, vL=5.03, vR=4.97, w=-0.03
t=24.95, vL=5.02, vR=4.98, w=-0.02
t=25.00, vL=5.01, vR=4.99, w=-0.01
t=25.05, vL=5.01, vR=4.99, w=-0.01
t=25.10, vL=5.00, vR=5.00, w=-0.00
t=25.15, vL=5.00, vR=5.00, w=0.00
t=25.20, vL=4.99, vR=5.01, w=0.01
t=25.25, vL=4.99, vR=5.01, w=0.01
t=25.30, vL=4.98, vR=5.02, w=0.02
t=25.35, vL=4.98, vR=5.02, w=0.02
t=25.40, vL=4.97, vR=5.03, w=0.03
t=25.45, vL=4.97, vR=5.03, w=0.03
t=25.50, vL=4.96, vR=5.04, w=0.04
t=25.55, vL=4.96, vR=5.04, w=0.04
t=25.60, vL=4.95, vR=5.05, w=0.05
t=25.65, vL=4.95, vR=5.05, w=0.05
t=25.70, vL=4.94, vR=5.06, w=0.06
t=25.75, vL=4.94, vR=5.06, w=0.06
t=25.80, vL=4.93, vR=5.07, w=0.07
t=25.85, vL=4.93, vR=5.07, w=0.07
t=25.90, vL=4.92, vR=5.08, w=0.08
t=25.95, vL=4.92, vR=5.08, w=0.08
